Protein,NET_FC_Phi,NET_FC_Pi,,,
AT5G17330.1,5.411837101,8.609750748,,110,both >0
AT3G01310.3,2.016421318,6.58752346,,9,phi>0 and pi<0
AT1G71380.1,0,6.314085007,,61,phi<0 and pi>0
AT3G07540.1,3.181900024,6.179846764,,98,both <0
AT1G15690.1,3.457724094,6.002948284,,67,phi=0 and pi<0
AT1G54270.2,0,5.820732594,,241,phi=0 and pi>0
AT3G25150.1,4.665526867,5.767139912,,28,phi>0 and pi=0
AT4G14870.1,0,5.680627823,,115,phi<0 and pi=0
AT3G08760.3,2.407804489,5.669534683,,,
AT3G54760.2,0,5.608031273,,,
AT4G32330.2,0,5.503073692,,,
AT4G14960.2,0,5.47591877,,,
AT1G19990.1,2.678996086,5.418215752,,,
AT5G26955.1,0,5.400753975,,,
AT1G13220.2,-0.76932621,5.312961578,,,
AT3G17850.1,0,5.267396927,,,
AT4G23650.1,0,5.248866081,,,
AT4G02010.1,0,5.223928452,,,
AT1G17210.1,3.547117233,5.21672821,,,
AT4G00930.4,0,5.196775436,,,
AT2G22400.1,3.845042229,5.113264561,,,
AT5G49470.1,0,5.090851784,,,
AT3G17420.1,1.787619591,5.068782806,,,
AT4G16340.2,0,5.031382084,,,
AT2G29190.2,0,5.004159927,,,
AT4G08850.2,6.878782272,4.937355042,,,
AT1G69220.1,0,4.935761452,,,
AT4G00710.2,0,4.912761688,,,
AT2G16920.2,-3.096405029,4.911911011,,,
AT3G18760.2,4.68193388,4.911575317,,,
AT2G01210.1,0,4.896295071,,,
AT4G02600.2,0,4.878009796,,,
AT5G47910.1,3.582413197,4.870491505,,,
AT1G79350.1,0,4.842164993,,,
AT5G49890.1,0,4.809556007,,,
AT4G23040.1,1.938780785,4.790496826,,,
AT4G24280.1,3.292170525,4.753817558,,,
AT1G15280.1,0,4.682045937,,,
AT4G37210.1,0,4.673231125,,,
AT5G40760.2,3.43942976,4.620465279,,,
AT4G38710.1,0,4.619896889,,,
AT2G42570.1,0,4.595986843,,,
AT3G57660.2,1.374444008,4.59325695,,,
AT5G42950.1,2.243812561,4.516293526,,,
AT1G50030.2,0,4.513230324,,,
AT1G76810.1,-3.194132805,4.509677887,,,
AT1G66680.1,3.253180504,4.503652573,,,
AT5G37190.3,1.581546783,4.498652458,,,
AT5G19450.2,1.237914085,4.486436844,,,
AT5G07350.1,1.525742531,4.480024338,,,
AT2G32240.1,0,4.479318142,,,
AT2G47970.1,0,4.464525223,,,
AT4G25970.1,2.349305153,4.448165417,,,
AT4G02220.1,0,4.446744919,,,
AT3G12280.2,0,4.442427635,,,
AT1G70770.2,3.515366554,4.413497925,,,
AT2G40430.1,3.248710155,4.405819893,,,
AT2G10950.3,0,4.404118061,,,
AT2G27080.2,3.897411346,4.304763794,,,
AT4G18950.1,4.108871937,4.290680885,,,
AT4G01370.1,0,4.268361092,,,
AT1G78880.1,-2.553141594,4.257052422,,,
AT3G13300.2,-1.917401314,4.255740643,,,
AT2G04620.1,0,4.247436523,,,
AT5G62550.1,0,4.242938519,,,
AT3G26935.1,-1.319849968,4.236036301,,,
AT4G37870.1,4.981389046,4.227733612,,,
AT3G02200.2,0,4.217125416,,,
AT3G49010.7,0,4.196495056,,,
AT5G35430.1,0,4.184780598,,,
AT2G21500.2,1.594325542,4.166610718,,,
AT1G79570.5,-5.685709953,4.160254478,,,
AT5G54380.1,1.653693199,4.154716492,,,
AT4G02400.1,2.231646538,4.151052475,,,
AT2G38280.2,0,4.136265755,,,
AT4G17410.5,0,4.134374619,,,
AT4G38900.3,0,4.116426468,,,
AT3G56850.1,0,4.109139919,,,
AT4G35310.2,2.788519859,4.106600761,,,
AT4G05150.1,0,4.047579288,,,
AT1G75990.1,0,4.035522938,,,
AT1G01300.1,0,4.000630379,,,
AT3G14010.4,0,3.98758173,,,
AT3G44750.2,0,3.953034401,,,
AT4G08350.1,-3.382089615,3.915786266,,,
AT5G38640.1,2.154448509,3.893972397,,,
AT1G73670.1,0,3.880736351,,,
AT5G13530.2,0,3.844820976,,,
AT3G09560.4,0,3.81799078,,,
AT4G35890.2,0,3.81275177,,,
AT1G08820.5,2.506394386,3.760719299,,,
AT3G57410.9,0,3.734051704,,,
AT1G35220.7,0,3.723267555,,,
AT1G13160.1,3.589268684,3.722104073,,,
AT3G05130.1,0,3.720844269,,,
AT5G19420.3,2.206892014,3.695607185,,,
AT2G38070.1,0,3.676057816,,,
AT1G72710.1,1.242353439,3.650995255,,,
AT3G04470.1,0,3.650167465,,,
AT3G15450.1,0,3.646249294,,,
AT4G35100.2,0,3.629770279,,,
AT5G39730.1,0,3.629371643,,,
AT3G05090.3,1.418840408,3.624459267,,,
AT4G39320.1,0,3.616698265,,,
AT4G30890.3,1.117387772,3.616596699,,,
AT4G27060.1,0,3.614047527,,,
