MajorityAGI,FC_Phi,FC_Pi,,,
AT3G17790,-3.78523159,-7.125044823,,375,both >0
AT1G17710,0,-5.116457939,,3,phi>0 and pi<0
AT5G61030,0,-4.483988762,,7,phi<0 and pi>0
AT2G47840,0,-4.275359154,,234,both <0
AT5G43340,-2.657715797,-4.152967453,,256,phi=0 and pi<0
AT3G17880,-4.174059868,-3.706144333,,294,phi=0 and pi>0
AT5G44610,-2.343735695,-3.620604515,,102,phi>0 and pi=0
AT3G05500,-2.509278297,-3.364732742,,90,phi<0 and pi=0
AT1G78830,-3.574048042,-3.316422462,,,
AT4G12060,-4.196720123,-3.299891472,,,
AT2G38940,-0.875236511,-3.293600082,,,
AT2G17280,0,-2.99565506,,,
AT4G34920,-2.285618782,-2.843913078,,,
AT5G43370,-1.181341171,-2.699917793,,,
AT1G72880,0,-2.588453293,,,
AT1G65970,-1.722517014,-2.44965744,,,
AT3G47560,-2.317258835,-2.34838295,,,
AT3G08510,-1.351157188,-2.331851006,,,
AT1G56580,-3.159779549,-2.309306145,,,
AT3G12500,-2.72416687,-2.270281792,,,
AT3G51730,0,-2.262832642,,,
AT3G05630,0,-2.157209396,,,
AT2G46880,-2.299853325,-2.13842392,,,
AT1G62810,0,-2.132011414,,,
AT3G51980,-1.498940468,-2.033500671,,,
AT1G65260,0,-2.017230034,,,
AT4G02290,-1.331978798,-2.000049591,,,
AT4G01070,0,-1.930857658,,,
AT4G15210,-1.384513855,-1.925451279,,,
AT5G01220,0,-1.900650024,,,
AT2G42690,-1.031619072,-1.817672729,,,
AT4G34460,-1.681255341,-1.779279709,,,
AT5G14820,0,-1.779219627,,,
AT3G27620,0,-1.757701874,,,
AT1G58280,0,-1.746042252,,,
AT3G16240,-0.975174904,-1.691732407,,,
AT4G04040,-0.757771492,-1.635961533,,,
AT1G62380,-1.785200119,-1.630371094,,,
AT1G17745,-0.712147713,-1.587617874,,,
AT1G04710,-0.852955818,-1.562325478,,,
AT1G15230,-1.58437252,-1.556275368,,,
AT4G25100,-1.291680336,-1.554075241,,,
AT5G09440,-1.107549667,-1.540817261,,,
AT5G49690,-0.95802784,-1.498101234,,,
AT2G24940,-1.843383789,-1.484951973,,,
AT1G35720,-0.775579453,-1.470380783,,,
AT4G33030,-0.328601837,-1.455007553,,,
AT5G20400,-0.927875519,-1.453123093,,,
AT1G19570,-1.1746521,-1.431589127,,,
AT1G55480,0,-1.428809166,,,
AT5G51040,0,-1.424136162,,,
AT1G60730,-0.810889244,-1.423246384,,,
AT4G36350,-0.590860367,-1.408382416,,,
AT2G41380,0,-1.384866714,,,
AT4G01050,0,-1.377625465,,,
AT5G44130,-0.828613281,-1.370864868,,,
AT5G16230,-1.433016777,-1.354584694,,,
AT1G33780,-0.743583679,-1.340904236,,,
AT3G16850,0,-1.337575912,,,
AT2G27190,0,-1.321892738,,,
AT4G18810,0,-1.313825607,,,
AT3G07720,-1.074400902,-1.29838562,,,
AT4G24890,-0.349959373,-1.291636467,,,
AT2G39080,-1.30665493,-1.269109726,,,
AT3G22850,-1.115578651,-1.257950783,,,
AT5G39720,-0.737833023,-1.24783802,,,
AT5G63570,0,-1.245409966,,,
AT5G66040,-1.032262802,-1.236508369,,,
AT2G38740,-0.568620682,-1.236280441,,,
AT5G27520,0,-1.230376244,,,
AT1G02305,-1.264098167,-1.223593712,,,
AT5G41210,-0.845651627,-1.221831322,,,
AT3G02870,-0.640859604,-1.220216751,,,
AT5G13630,-0.969199181,-1.21859169,,,
AT5G11720,0,-1.213106155,,,
AT2G38760,0,-1.211771011,,,
AT3G52190,-0.256336212,-1.205898285,,,
AT2G18193,0,-1.200744629,,,
AT5G39730,-1.248994827,-1.198957443,,,
AT1G53280,-1.20229435,-1.19576931,,,
AT5G52882,-1.737215996,-1.194923401,,,
AT1G13750,-1.073292732,-1.19036293,,,
AT3G16190,0,-1.188516617,,,
AT5G19440,-0.666324615,-1.183683395,,,
AT5G64290,0,-1.178938866,,,
AT2G16060,-1.118499756,-1.167079926,,,
AT3G22370,-0.277118683,-1.160703659,,,
